id,text,author
1,think of it like moving a camel to Antarctica,@TasdidFayed
2,"The Act 1 Finale of the Valorant musical would be ""Where the Fuck Are My Bullets Going?",@Unknown
3,I don't know what I just did but it was pretty hot,@Volic
4,This fucking bitch is duck hunting!,@shoelessandy
5,"Oh there's a wall. Donald Trump, get out!",@shoelessandy
6,I HAVE TRUST ISSUES!,@ShortySavage414
7,You could spit on her.,@sugarstrawbs
8,Both of you are smelly poo stains!,@shoelessandy
9,A BBQ Grippo sounds like when you get a handy at a company picnic,@B_Student_Gaming
10,Why won't that little frenchman die?!,@ShortySavage414
11,"Sugar, why are you alone?"" @sugarstrawbs: *maniacal laughter*",@ShortySavage414
12,"Yeah, you wall off that kitchen. Fuck open concepts!",@B_Student_Gaming
13,"Missed your shot? Nah, I missed site",@TheRealPuptato
14,"Remember, tap it. Just tap it...... There you go, good tap!"" Kreygasm",@volictv
15,Five would be impressive for me.,@shimmayy
16,"shit feels like it's been way harder than it should be."" @B_Student_Gaming: ""I'm sorry to hear that but also that's what she said.",@shortysavage414
17,Tuck in first before doing that,@VolicTV
18,I like that skin! I was waiting for you to die so I can take it.,@Glubbies
19,Crack me like a glow stick,@ShortySavage414
20,One of them's a piece of shit and the other kind of works....somewhat,@shortysavage414 & @b_student_gmaing
21,Glub Glub! That's my mating call!,@Glubbies
22,Ow ow I coughed and I pulled a muscle!,@VolicTV
23,I hate it here,@ShortySavage414
24,Call him prom night the way he's about to finger blast everyone,@B_Student_Gaming
25,My hands forgot what they were doing for a second.,@ShortySavage414
26,I stopped breathing!,@ShortySavage414
27,I'm about to silver fox the shit out of my 30's,@B_Student_Gaming
28,How many Ops do we have? YOU ALL HAVE OPS!,@VolicTV
29,Who the fuck am I?,@ShortySavage414
30,ppl hate me cuz i fuck with mint choco chip,@shoelessandy
31,I wish somebody would touch my toes.,@shoelessandy
32,I just witnessed a domestic,@shoelessandy
33,that ain't it. That ain't it! THAT AIN'T IT!!!,@VolicTV
34,"Crouching Tiger, Hidden Pew Pew",@shoelessandy
35,I JUST GOT SPLOOGED!,@ShortySavage414
36,"DM stands for 'Dab, Massive'",@jeis27
37,"I'm not sober. NO I mean I AM sober!"", lied Shorty",@ShortySavage414
38,"I didn't MEAN to bate you."" @glubbies: ""He bated the fuck out of you."" @shortysavage414: ""Yeah he did!",@!volictv
39,"wait. Where are you going?"" *long silence* ""OK. Secrets, I see",@glubbies
40,Why are my hands not working?!,@shortysavage414
41,"well, I just got a Subaru ad so twitch thinks I'm old, white, and gay. But that's not, mostly, and half true",@B_student_gaming
42,So here's how my Friday is going: there was a snake in the office when I first got in. Then there was a 4 car pile up right outside the office. Then one of my coworkers exes stole her dogs and drove through the parking lot shouting that he was going to burn down her house,@B_Student_Gaming
43,EVERYONE MAKES ME NERVOUS,@TheRealPuptato
44,I don't know whether to feel harassed or grateful,@TheRealPuptato
